"Air temperature [K]","Process temperature [K]","Vibration Levels","Operational Hours","Failure Type"
298.4,308.5,38,66.76,"No Failure"
298.4,308.6,39,67.12,"No Failure"
298.4,308.6,40,67.47,"No Failure"
298.3,308.6,34.56129032,67.83,"No Failure"
298.3,308.5,34.27983871,68.18,"No Failure"
298.3,308.4,33.9983871,68.54,"No Failure"
298.3,308.5,33.71693548,68.89,"No Failure"
298.3,308.5,33.43548387,69.25,"No Failure"
298.3,308.5,33.15403226,69.6,"No Failure"
298.3,308.6,32.87258065,69.95,"No Failure"
298.3,308.4,32.59112903,70.31,"No Failure"
298.2,308.4,32.30967742,70.66,"No Failure"
298.2,308.4,32.02822581,71.02,"No Failure"
298.2,308.4,31.74677419,71.37,"No Failure"
298.1,308.3,31.46532258,71.73,"No Failure"
298.1,308.3,31.18387097,72.08,"No Failure"
298,308.1,30.90241935,72.44,"No Failure"
297.9,308.1,30.62096774,72.79,"No Failure"
298,308.2,30.33951613,73.15,"No Failure"
298,308.1,30.05806452,73.5,"No Failure"
298,308.1,29.7766129,73.85,"No Failure"
298,308.2,29.49516129,74.21,"No Failure"
298,308.2,29.21370968,74.56,"No Failure"
298,308.2,28.93225806,74.92,"No Failure"
297.9,308.1,28.65080645,75.27,"No Failure"
297.9,308.1,28.36935484,75.63,"No Failure"
298,308.2,28.08790323,75.98,"No Failure"
298,308.3,27.80645161,76.34,"No Failure"
298,308.3,27.525,76.69,"No Failure"
298,308.3,27.24354839,77.05,"No Failure"
298,308.2,26.96209677,77.4,"No Failure"
298,308.2,26.68064516,77.75,"No Failure"
298,308.2,26.39919355,78.11,"No Failure"
298.1,308.3,25.55483871,79.17,"No Failure"
298,308,25.2733871,79.53,"No Failure"
298.1,308.2,24.99193548,79.88,"No Failure"
298.1,308.2,24.71048387,80.24,"No Failure"
298.2,308.3,24.42903226,80.59,"No Failure"
298.1,308.2,24.14758065,80.95,"No Failure"
298,308.1,52,81.65,"No Failure"
298.1,308.2,44,82.01,"No Failure"
297.9,308,36,83.43,"No Failure"
298,308,33,83.78,"No Failure"
298,308,23,84.14,"No Failure"
298.1,308.1,45,84.49,"No Failure"
298.1,308.1,55,84.85,"No Failure"
298.1,308,45,85.2,"No Failure"
298.1,308,34,85.55,"No Failure"
298,308,34,85.91,"No Failure"
298,307.9,23,86.26,"No Failure"
298,308,42,86.62,"No Failure"
298,308,54,86.97,"No Failure"
298,308.1,55,87.33,"No Failure"
298.1,308.1,54,87.68,"No Failure"
298.1,308,34,88.04,"No Failure"
298.1,308.1,33,88.39,"No Failure"
298.2,308.2,23,88.75,"No Failure"
298.2,308.3,24,89.1,"No Failure"
298.2,308.3,36,89.45,"No Failure"
298.2,308.3,34,89.81,"No Failure"
298.2,308.3,35,90.16,"No Failure"
298.2,308.4,36,90.52,"No Failure"
298.1,308.4,37,90.87,"No Failure"
298.1,308.4,38,91.23,"No Failure"
298,308.3,39,91.58,"No Failure"
298.1,308.4,40,91.94,"No Failure"
298.1,308.5,42,92.29,"No Failure"
298.1,308.5,52,92.65,"No Failure"
298.1,308.6,44,93,"No Failure"
298,308.5,52,93.35,"No Failure"
298,308.5,44,93.71,"No Failure"
297.9,308.5,35,94.06,"No Failure"
297.8,308.3,36,94.42,"No Failure"
297.8,308.4,33,94.77,"No Failure"
297.7,308.4,23,95.13,"No Failure"
297.8,308.4,45,95.48,"No Failure"
297.8,308.4,55,95.84,"No Failure"
297.8,308.4,45,96.19,"No Failure"
297.8,308.4,34,96.55,"No Failure"
297.8,308.4,34,96.9,"No Failure"
297.8,308.4,23,97.25,"No Failure"
297.9,308.5,42,97.61,"No Failure"
297.9,308.5,54,97.96,"No Failure"
298,308.6,55,98.32,"No Failure"
298,308.6,54,98.67,"No Failure"
297.9,308.6,34,99.03,"No Failure"
298,308.6,33,99.38,"No Failure"
297.9,308.5,23,99.74,"No Failure"
297.9,308.4,24,100.09,"No Failure"
297.8,308.4,36,100.45,"No Failure"
297.8,308.4,34,100.8,"No Failure"
297.8,308.4,35,101.15,"No Failure"
297.8,308.4,36,101.51,"No Failure"
297.8,308.4,37,101.86,"No Failure"
297.8,308.4,38,102.22,"No Failure"
297.8,308.5,39,102.57,"No Failure"
297.8,308.5,40,102.93,"No Failure"
297.8,308.5,42,103.28,"No Failure"
297.8,308.5,52,103.64,"No Failure"
297.7,308.5,44,103.99,"No Failure"
297.7,308.5,52,104.35,"No Failure"
297.6,308.4,44,104.7,"No Failure"
297.7,308.5,35,105.05,"No Failure"
297.6,308.4,36,105.41,"No Failure"
297.6,308.4,33,105.76,"No Failure"
297.6,308.3,23,106.12,"No Failure"
297.5,308.2,45,106.47,"No Failure"
297.5,308.1,55,106.83,"No Failure"
297.4,308.1,45,107.18,"No Failure"
297.6,308.2,34,107.54,"No Failure"
297.6,308.3,34,107.89,"No Failure"
297.5,308.2,23,108.25,"No Failure"
297.5,308.2,42,108.6,"No Failure"
297.4,308.1,54,108.95,"No Failure"
297.4,308.2,55,109.31,"No Failure"
297.4,308.2,54,109.66,"No Failure"
297.5,308.3,34,110.02,"No Failure"
297.5,308.2,33,110.37,"No Failure"
297.5,308.3,23,110.73,"No Failure"
297.5,308.3,24,111.08,"No Failure"
297.5,308.3,36,111.44,"No Failure"
297.6,308.3,36,112.5,"No Failure"
297.6,308.4,37,112.85,"No Failure"
297.6,308.4,38,113.21,"No Failure"
297.5,308.3,39,113.56,"No Failure"
297.6,308.3,40,113.92,"No Failure"
297.6,308.3,42,114.27,"No Failure"
297.6,308.4,44,114.98,"No Failure"
297.6,308.3,52,115.34,"No Failure"
297.6,308.3,33,116.75,"No Failure"
297.6,308.3,23,117.11,"No Failure"
297.6,308.4,45,117.46,"No Failure"
297.6,308.4,55,117.82,"No Failure"
297.6,308.5,45,118.17,"No Failure"
297.6,308.4,34,118.53,"No Failure"
297.5,308.4,34,118.88,"No Failure"
297.5,308.4,23,119.24,"No Failure"
297.5,308.3,42,119.59,"No Failure"
297.5,308.4,54,119.95,"No Failure"
297.4,308.3,55,120.3,"No Failure"
297.4,308.3,54,120.65,"No Failure"
297.4,308.3,34,121.01,"No Failure"
297.4,308.2,33,121.36,"No Failure"
297.4,308.2,23,121.72,"No Failure"
297.4,308.2,24,122.07,"No Failure"
297.3,308.2,36,122.43,"No Failure"
297.3,308.2,34,122.78,"No Failure"
297.5,308.3,35,123.14,"No Failure"
297.5,308.5,36,123.49,"No Failure"
297.5,308.5,37,123.85,"No Failure"
297.5,308.6,38,124.2,"No Failure"
297.5,308.5,39,124.55,"No Failure"
297.6,308.6,40,124.91,"No Failure"
297.6,308.7,42,125.26,"No Failure"
297.7,308.7,52,125.62,"No Failure"
297.6,308.7,44,125.97,"No Failure"
297.6,308.7,52,126.33,"No Failure"
297.6,308.7,44,126.68,"No Failure"
297.6,308.6,35,127.04,"No Failure"
297.6,308.5,36,127.39,"No Failure"
297.5,308.4,33,127.75,"No Failure"
297.5,308.4,23,128.1,"No Failure"
297.4,308.3,45,128.45,"No Failure"
297.4,308.3,55,128.81,"No Failure"
297.4,308.3,45,129.16,"No Failure"
297.4,308.3,34,129.52,"No Failure"
297.4,308.4,34,129.87,"No Failure"
297.4,308.5,23,130.23,"No Failure"
297.5,308.5,42,130.58,"No Failure"
297.4,308.6,54,130.94,"No Failure"
297.3,308.6,55,131.29,"No Failure"
297.3,308.6,54,131.65,"No Failure"
297.3,308.5,34,132,"No Failure"
297.4,308.6,33,132.35,"No Failure"
297.4,308.5,23,132.71,"No Failure"
297.4,308.6,24,133.06,"No Failure"
297.4,308.6,36,133.42,"No Failure"
297.5,308.6,34,133.77,"No Failure"
297.5,308.7,35,134.13,"No Failure"
297.5,308.6,36,134.48,"No Failure"
297.4,308.4,37,134.84,"No Failure"
297.4,308.4,38,135.19,"No Failure"
297.5,308.4,39,135.55,"No Failure"
297.4,308.5,40,135.9,"No Failure"
297.4,308.4,34.56129032,136.25,"No Failure"
297.4,308.4,34.27983871,136.61,"No Failure"
297.3,308.3,33.9983871,136.96,"No Failure"
297.3,308.3,33.71693548,137.32,"No Failure"
297.3,308.3,33.43548387,137.67,"No Failure"
297.3,308.3,33.15403226,138.03,"No Failure"
297.3,308.3,32.87258065,138.38,"No Failure"
297.3,308.4,32.59112903,138.74,"No Failure"
297.3,308.4,32.30967742,139.09,"No Failure"
297.4,308.5,32.02822581,139.45,"No Failure"
297.5,308.5,31.74677419,139.8,"No Failure"
297.6,308.6,31.46532258,140.15,"No Failure"
297.5,308.6,31.18387097,140.51,"No Failure"
297.5,308.6,30.90241935,140.86,"No Failure"
297.5,308.5,30.62096774,141.22,"No Failure"
297.6,308.5,30.33951613,141.57,"No Failure"
297.6,308.5,30.05806452,141.93,"No Failure"
297.5,308.5,29.7766129,142.28,"No Failure"
297.4,308.3,29.49516129,142.64,"No Failure"
297.3,308.3,29.21370968,142.99,"No Failure"
297.3,308.3,28.93225806,143.35,"No Failure"
297.4,308.4,28.65080645,143.7,"No Failure"
297.4,308.3,28.36935484,144.05,"No Failure"
297.4,308.5,28.08790323,144.41,"No Failure"
297.5,308.5,27.80645161,144.76,"No Failure"
297.4,308.4,26.96209677,145.83,"No Failure"
297.5,308.6,26.68064516,146.18,"No Failure"
297.5,308.6,26.39919355,146.54,"No Failure"
297.6,308.7,26.11774194,146.89,"No Failure"
297.5,308.6,25.83629032,147.25,"No Failure"
297.6,308.7,25.55483871,147.6,"No Failure"
297.5,308.6,24.99193548,148.31,"No Failure"
297.4,308.6,24.71048387,148.66,"No Failure"
297.3,308.7,52,150.08,"No Failure"
297.4,308.6,44,150.44,"No Failure"
297.3,308.6,52,150.79,"No Failure"
297.4,308.6,44,151.15,"No Failure"
297.3,308.6,35,151.5,"No Failure"
297.4,308.7,36,151.85,"No Failure"
297.4,308.7,33,152.21,"No Failure"
297.4,308.7,23,152.56,"No Failure"
297.3,308.6,45,152.92,"No Failure"
297.3,308.6,55,153.27,"No Failure"
297.2,308.5,45,153.63,"No Failure"
297.2,308.5,34,153.98,"No Failure"
297.3,308.7,34,154.34,"No Failure"
297.3,308.8,23,154.69,"No Failure"
297.3,308.8,42,155.05,"No Failure"
297.3,308.8,54,155.4,"No Failure"
297.4,309,55,155.75,"No Failure"
297.4,309,54,156.11,"No Failure"
297.4,309.1,34,156.46,"No Failure"
297.4,309.1,33,156.82,"No Failure"
297.4,309,23,157.17,"No Failure"
297.4,309,24,157.53,"No Failure"
297.4,309,36,157.88,"No Failure"
297.4,308.9,34,158.24,"No Failure"
297.4,309,35,158.59,"No Failure"
297.3,309,36,158.95,"No Failure"
297.3,309,37,159.3,"No Failure"
297.4,309,38,159.65,"No Failure"
297.4,309,39,160.01,"No Failure"
297.4,309,40,160.36,"No Failure"
297.4,309.1,42,160.72,"No Failure"
297.4,309.1,52,161.07,"No Failure"
297.4,309.2,44,161.43,"No Failure"
297.5,309.2,52,161.78,"No Failure"
297.4,309.2,44,162.14,"No Failure"
297.4,309.2,35,162.49,"No Failure"
297.5,309.3,36,162.85,"No Failure"
297.5,309.3,33,163.2,"No Failure"
297.6,309.4,23,163.55,"No Failure"
297.5,309.3,45,163.91,"No Failure"
297.5,309.2,55,164.26,"No Failure"
297.4,309,45,164.62,"No Failure"
297.5,309.1,34,164.97,"No Failure"
297.5,309.1,34,165.33,"No Failure"
